"guid","label"
"urn:uuid:8798ebb2-9599-4322-a2c3-d5f0672b5f3b","Information Element ActedUpon dwc:establishmentMeans"
"urn:uuid:c5abcb06-a1d0-4ed5-9513-c04c194293e6","Information Element ActedUpon dwc:degreeOfEstablishment"
"urn:uuid:e08c00da-2c0e-4a4d-9843-b8289bfbb6e5","Information Element ActedUpon dwc:degreeOfEstablishment"
"urn:uuid:f3141ff8-76fa-4953-9c6c-9300816358cc","Information Element ActedUpon dwc:pathway"
"urn:uuid:501cff3c-9558-4a0e-827a-2985ba53dfc7","Information Element ActedUpon dwc:pathway"
"urn:uuid:81029ffa-2df8-4e9e-a7dd-fc67faad9205","Information Element ActedUpon dwc:sex"
"urn:uuid:f4a0a2ea-fb5f-464f-837c-fb7fcbe51d5d","Information Element ActedUpon dwc:sex"
"urn:uuid:63b75539-9290-4ce4-86e3-938bc924e3cd","Information Element ActedUpon dwc:typeStatus"
"urn:uuid:d2f00f20-d194-4a9a-9b0f-74c144ab87b3","Information Element ActedUpon dwc:typeStatus"
"urn:uuid:5be9ff68-1232-4f09-a3ef-5d78ccdecf8c","Information Element Consulted dwc:coordinateUncertaintyInMeters"
"urn:uuid:6e8dc68d-e86d-4920-ad50-55ac0ab9b762","Information Element ActedUpon dwc:countryCode, dwc:decimalLatitude, dwc:decimalLongitude"
"urn:uuid:fb80d5bf-7777-4d88-b09f-116a38ab7bfa","Information Element ActedUpon bdq:VALIDATION_COUNTRYCODE_STANDARD.Response"
"urn:uuid:4d7d45ed-da78-44b0-8e93-e8c0423aa4a9","Information Element ActedUpon bdq:VALIDATION_COUNTRY_FOUND.Response"
"urn:uuid:6fa9dcd8-4e43-4fc7-acb6-1aff70e87f51","Information Element ActedUpon bdq:VALIDATION_PHYLUM_FOUND.Response"
"urn:uuid:72ac3c31-cddf-4fcf-bb6d-2d10b6a1a18e","Information Element ActedUpon bdq:VALIDATION_MINDEPTH_LESSTHAN_MAXDEPTH.Response"
"urn:uuid:53ba0552-5eb5-4317-a5e7-dcaee30608b1","Information Element ActedUpon bdq:VALIDATION_FAMILY_FOUND.Response"
"urn:uuid:4328982c-cc3a-422e-9ac6-45cd7bc54f2c","Information Element ActedUpon bdq:VALIDATION_DECIMALLONGITUDE_INRANGE.Response"
"urn:uuid:de36737d-3d44-4b90-b79e-754df1db1f8a","Information Element ActedUpon bdq:VALIDATION_EVENTDATE_NOTEMPTY.Response"
"urn:uuid:53b35bee-878a-4142-954b-92c03865a63c","Information Element ActedUpon bdq:VALIDATION_EVENTDATE_INRANGE.Response"
"urn:uuid:cbb53f33-ddc6-444c-b2f1-c06bb6759225","Information Element ActedUpon bdq:VALIDATION_LICENSE_STANDARD.Response"
"urn:uuid:5cdd4160-7979-4e15-be8f-c8e3cc88e472","Information Element ActedUpon bdq:VALIDATION_MINELEVATION_INRANGE.Response"
"urn:uuid:fd9bc73a-2b67-4940-ac2a-ad1dda03d0b7","Information Element ActedUpon bdq:VALIDATION_LOCATION_NOTEMPTY.Response"
"urn:uuid:545ce7c8-64e1-463e-a578-be2580d7d3c5","Information Element ActedUpon bdq:VALIDATION_COUNTRY_NOTEMPTY.Response"
"urn:uuid:9400633f-3e7a-4fbf-819e-8e2a0772494e","Information Element ActedUpon bdq:VALIDATION_SCIENTIFICNAME_FOUND.Response"
"urn:uuid:c1f3287b-beca-49d7-b2e6-3e6de75ae598","Information Element ActedUpon bdq:VALIDATION_OCCURRENCEID_NOTEMPTY.Response"
"urn:uuid:189a1e19-a50d-492d-87e1-27338d16883b","Information Element ActedUpon bdq:VALIDATION_YEAR_NOTEMPTY.Response"
"urn:uuid:fb262b9b-a67b-45f9-92eb-fbcf58c72b0f","Information Element ActedUpon bdq:VALIDATION_COORDINATESCOUNTRYCODE_CONSISTENT.Response"
"urn:uuid:351049a9-bc84-42f6-af70-493e2e063153","Information Element ActedUpon bdq:VALIDATION_COORDINATESTERRESTRIALMARINE_CONSISTENT.Response"
"urn:uuid:463c35d2-41c0-4e68-af22-4bb4c200b376","Information Element ActedUpon bdq:VALIDATION_COORDINATESSTATEPROVINCE_CONSISTENT.Response"
"urn:uuid:b90492ed-90da-4552-8ac0-e18e71db9d86","Information Element ActedUpon bdq:VALIDATION_BASISOFRECORD_NOTEMPTY.Response"
"urn:uuid:32f5c5c1-ec68-462a-8f73-f54c5236c0d1","Information Element ActedUpon bdq:VALIDATION_GEODETICDATUM_STANDARD.Response"
"urn:uuid:f4cf2376-f816-4184-bc70-0df700bcc1eb","Information Element ActedUpon bdq:VALIDATION_COUNTRYCOUNTRYCODE_CONSISTENT.Response"
"urn:uuid:b9dd90bd-0f4d-403d-b24e-8aed6c157946","Information Element ActedUpon bdq:VALIDATION_EVENTDATE_STANDARD.Response"
"urn:uuid:c2949d73-f230-443b-a9c4-16af595f09a3","Information Element ActedUpon bdq:VALIDATION_EVENT_CONSISTENT.Response"
"urn:uuid:bbb2cdf1-1565-48b9-8d6c-f5cee70a6e56","Information Element ActedUpon bdq:VALIDATION_DATEIDENTIFIED_STANDARD.Response"
"urn:uuid:993087b8-ab86-4f3a-b9aa-bde018b406b3","Information Element ActedUpon bdq:VALIDATION_TAXON_UNAMBIGUOUS.Response"
"urn:uuid:ba87601b-dcc0-424d-973d-3869f35586d0","Information Element ActedUpon bdq:VALIDATION_DATEIDENTIFIED_INRANGE.Response"
"urn:uuid:75264e67-1247-494f-bbc2-4355e5ea8246","Information Element ActedUpon bdq:VALIDATION_CLASS_FOUND.Response"
"urn:uuid:01835b18-0e6a-4947-a3e7-a39daec2061f","Information Element ActedUpon bdq:VALIDATION_GEODETICDATUM_NOTEMPTY.Response"
"urn:uuid:f3a092ed-b307-4aa7-a308-a6de8f29f91c","Information Element ActedUpon bdq:VALIDATION_DECIMALLATITUDE_INRANGE.Response"
"urn:uuid:52c61f29-f440-4a97-888c-89bf4f1f143c","Information Element ActedUpon bdq:VALIDATION_KINGDOM_FOUND.Response"
"urn:uuid:0938b920-e3f0-4b1b-8e82-3bb2bcb26ad9","Information Element ActedUpon bdq:VALIDATION_SCIENTIFICNAME_NOTEMPTY.Response"
"urn:uuid:9f20b037-e607-47ce-8b54-c46fc6c83407","Information Element ActedUpon bdq:VALIDATION_ORDER_FOUND.Response"
"urn:uuid:904e3e78-82d3-4d8a-90db-2be4bead51cc","Information Element ActedUpon bdq:VALIDATION_YEAR_INRANGE.Response"
"urn:uuid:0dd0bc56-a3c4-4a11-bde2-8051b8944ead","Information Element ActedUpon bdq:VALIDATION_COORDINATES_NOTZERO.Response"
"urn:uuid:b6c0e87e-4b9a-4f6b-bbaf-9cf23b02ddee","Information Element ActedUpon bdq:VALIDATION_EVENTTEMPORAL_NOTEMPTY.Response"
"urn:uuid:3c6be17f-a7fc-4449-9d91-a528d012f415","Information Element ActedUpon bdq:VALIDATION_DCTYPE_STANDARD.Response"
"urn:uuid:72a0dee0-ad16-4a3c-8045-c79c54f6193e","Information Element ActedUpon bdq:VALIDATION_DECIMALLONGITUDE_NOTEMPTY.Response"
"urn:uuid:67e7259e-3421-4f5d-a31d-a92ce73d0baa","Information Element ActedUpon bdq:VALIDATION_COUNTRYCODE_NOTEMPTY.Response"
"urn:uuid:893e5d1d-d9e1-49d6-8b17-337b87419ae6","Information Element ActedUpon bdq:VALIDATION_LICENSE_NOTEMPTY.Response"
"urn:uuid:54ae4594-8bf0-47b5-9977-49c73ce10a74","Information Element ActedUpon bdq:VALIDATION_POLYNOMIAL_CONSISTENT.Response"
"urn:uuid:ed140634-27d9-474a-b107-279caf1b9e55","Information Element ActedUpon bdq:VALIDATION_DCTYPE_NOTEMPTY.Response"
"urn:uuid:fe9787e7-d5e8-4c40-a980-631686b3d16d","Information Element ActedUpon bdq:VALIDATION_BASISOFRECORD_STANDARD.Response"
"urn:uuid:2c68f3a2-539a-43bf-99b2-972c98a90b68","Information Element ActedUpon bdq:VALIDATION_TAXON_NOTEMPTY.Response"
"urn:uuid:78d4bba2-ea16-42a4-a45d-c28cea71a2dc","Information Element ActedUpon bdq:VALIDATION_MINDEPTH_INRANGE.Response"
"urn:uuid:f379c9b1-f432-4a29-9e5f-8c8ad012aa38","Information Element ActedUpon bdq:VALIDATION_MINELEVATION_LESSTHAN_MAXELEVATION.Response"
"urn:uuid:e96e00be-9b67-42df-a914-4873e05f9a34","Information Element ActedUpon bdq:VALIDATION_COORDINATEUNCERTAINTY_INRANGE.Response"
"urn:uuid:5079eace-ec39-4d44-b4ce-7894854b9eed","Information Element ActedUpon bdq:VALIDATION_MAXELEVATION_INRANGE.Response"
"urn:uuid:3f67a77a-85c0-495d-948a-5ea0dec89ec7","Information Element ActedUpon bdq:VALIDATION_OCCURRENCESTATUS_STANDARD.Response"
"urn:uuid:47b2efa0-bf97-45be-b133-f14cfc73ace5","Information Element ActedUpon bdq:VALIDATION_OCCURRENCESTATUS_NOTEMPTY.Response"
